Device,TrafficSource,PastVisits,TotalPagesViewed,TimePerPage_sec,VisitDuration_min,CartOpened,PurchaseMade,Revenue
Mobile,Shopping Site,4,3,13.25,6.74,0,0,0.0
Desktop,Referral,2,4,15.72,11.19,0,0,0.0
Mobile,Search,1,4,52.86,8.3,0,0,0.0
Mobile,Referral,0,11,49.53,4.0,0,0,0.0
Mobile,Shopping Site,3,28,37.82,10.13,0,0,0.0
Mobile,Search,4,7,59.69,14.38,0,0,0.0
Mobile,Social Media,4,26,44.64,11.59,0,0,0.0
Desktop,Search,3,11,14.52,9.14,0,0,0.0
Mobile,Referral,3,24,51.11,14.86,0,0,0.0
Mobile,Email,6,11,26.05,4.13,1,0,0.0
Mobile,Advertisement,4,10,4.1,1.12,0,0,0.0
Desktop,Referral,4,5,20.64,0.68,0,1,186.81
Desktop,Search,5,13,46.29,10.72,0,0,0.0
Mobile,Referral,1,29,57.69,12.49,0,0,0.0
Mobile,Email,4,12,18.02,9.6,0,0,0.0
Mobile,Social Media,2,10,16.3,13.59,1,0,0.0
Mobile,Internal,4,7,34.69,10.53,0,0,0.0
Mobile,Search,5,19,49.08,5.69,0,0,0.0
Mobile,Advertisement,2,19,45.3,2.88,0,0,0.0
Mobile,Search,4,19,34.48,13.88,0,0,0.0
Mobile,Search,1,12,38.62,1.73,0,0,0.0
Mobile,Email,2,20,16.04,8.24,0,1,151.74
Mobile,Search,4,22,27.09,4.85,0,0,0.0
Mobile,Referral,1,15,16.81,4.22,0,0,0.0
Mobile,Social Media,1,5,53.3,9.76,0,0,0.0
Mobile,Shopping Site,0,24,8.53,3.62,0,0,0.0
Mobile,Search,3,14,41.42,13.76,0,0,0.0
Mobile,Search,3,12,17.1,6.21,0,0,0.0
Mobile,Shopping Site,4,29,29.58,10.23,0,0,0.0
Mobile,Search,2,21,19.37,10.97,0,0,0.0
Mobile,Referral,3,11,20.75,10.31,0,0,0.0
Mobile,Email,6,28,17.1,13.57,0,0,0.0
Mobile,Email,2,5,45.66,3.62,0,0,0.0
Desktop,Search,2,16,23.21,1.47,0,0,0.0
Desktop,Search,2,26,44.13,1.02,0,0,0.0
Desktop,Internal,4,18,28.45,13.19,1,0,0.0
Mobile,Referral,1,12,33.74,14.6,0,0,0.0
Mobile,Referral,4,27,33.51,4.68,0,0,0.0
Mobile,Referral,3,27,58.6,10.46,0,0,0.0
Mobile,Shopping Site,3,5,23.29,0.33,0,0,0.0
Mobile,Search,5,16,14.05,2.99,0,0,0.0
Mobile,Email,3,12,54.88,10.4,0,0,0.0
Mobile,Email,1,23,12.14,1.18,0,1,86.25
Desktop,Referral,1,2,50.4,7.13,0,0,0.0
Mobile,Search,3,29,10.71,10.01,0,1,134.09
Mobile,Search,5,6,40.21,11.54,0,0,0.0
Mobile,Referral,4,23,10.73,6.92,0,0,0.0
Mobile,Search,2,21,55.54,9.53,0,0,0.0
Mobile,Email,7,25,34.77,8.19,1,0,0.0
Mobile,Referral,0,4,21.1,0.97,0,0,0.0
Desktop,Email,4,13,10.14,11.19,0,1,179.68
Mobile,Email,2,10,23.53,2.75,0,0,0.0
Desktop,Referral,3,17,42.89,0.67,0,0,0.0
Desktop,Search,1,14,24.33,6.88,0,0,0.0
Mobile,Search,3,24,16.27,13.01,1,0,0.0
Desktop,Search,1,15,35.49,2.43,0,0,0.0
Mobile,Email,3,8,26.23,0.39,0,0,0.0
Mobile,Social Media,6,23,11.62,1.83,0,0,0.0
Mobile,Search,3,24,10.93,5.58,0,0,0.0
Mobile,Email,2,18,43.03,8.79,0,0,0.0
Mobile,Referral,1,3,58.53,3.06,1,0,0.0
Mobile,Email,4,25,15.52,12.07,0,0,0.0
Desktop,Search,4,17,46.84,11.35,0,0,0.0
Mobile,Email,3,24,7.08,10.5,1,0,0.0
Mobile,Referral,1,24,24.13,7.41,0,0,0.0
Mobile,Search,4,7,31.39,5.61,0,0,0.0
Mobile,Referral,2,13,17.59,5.76,0,0,0.0
Desktop,Shopping Site,4,27,32.72,7.65,0,0,0.0
Mobile,Referral,1,16,53.19,1.34,0,0,0.0
Desktop,Internal,5,5,56.78,10.3,0,0,0.0
Mobile,Search,3,4,7.83,5.4,0,0,0.0
Mobile,Email,1,26,17.77,3.53,0,0,0.0
Mobile,Referral,2,10,58.79,4.32,0,0,0.0
Desktop,Search,1,13,17.68,2.87,0,0,0.0
